name,cust,date,sales
Bateman  Elexis,4,1997-01-01,29.33
Bateman  Elexis,4,1997-01-18,29.73
Bateman  Elexis,4,1997-08-02,14.96
Bateman  Elexis,4,1997-12-12,26.48
Yujiri  Jorden,21,1997-01-01,63.34
Yujiri  Jorden,21,1997-01-13,11.77
Tarango  Mariah,50,1997-01-01,6.79
Heimann  John Anthony,71,1997-01-01,13.97
Armstrong  Katrina,86,1997-01-01,23.94
Littleton  Brandon,111,1997-01-01,35.99
Littleton  Brandon,111,1997-01-11,32.99
Littleton  Brandon,111,1997-03-15,77.96
Littleton  Brandon,111,1997-04-16,59.3
Littleton  Brandon,111,1997-04-24,134.98
Littleton  Brandon,111,1997-06-23,91.92
Littleton  Brandon,111,1997-07-22,47.08
Littleton  Brandon,111,1997-07-26,71.96
Littleton  Brandon,111,1997-10-25,78.47
Littleton  Brandon,111,1997-12-06,83.47
Littleton  Brandon,111,1998-01-18,84.46
Littleton  Brandon,111,1998-02-15,123.96
Littleton  Brandon,111,1998-02-21,32.98
Littleton  Brandon,111,1998-02-26,23.06
Littleton  Brandon,111,1998-05-10,72.99
Littleton  Brandon,111,1998-06-20,55.47
Cather  Jeremy,112,1997-01-01,11.77
Cather  Jeremy,112,1997-02-05,11.77
Chung  Martin,113,1997-01-01,32.91
Chung  Martin,113,1998-03-04,15.27
Chung  Martin,113,1998-03-07,11.49
Sowell-Boyes  Kristine,114,1997-01-01,16.36
Sowell-Boyes  Kristine,114,1997-05-01,28.13
Sowell-Boyes  Kristine,114,1997-09-08,22.97
Sowell-Boyes  Kristine,114,1998-02-10,28.49
Sowell-Boyes  Kristine,114,1998-02-11,28.98
Jimenez  David,131,1997-01-01,30.32
Davis  Timothy,133,1997-01-01,18.99
Davis  Timothy,133,1997-01-27,14.37
Davis  Timothy,133,1997-02-01,9.77
Davis  Timothy,133,1997-03-02,15.99
Davis  Timothy,133,1997-05-04,47.33
Davis  Timothy,133,1997-06-21,59.74
Davis  Timothy,133,1997-11-11,32.98
Loya  Jazmin,151,1997-01-01,13.97
Namons  Santee,166,1997-01-01,29.53
Namons  Santee,166,1997-11-30,16.48
Namons  Santee,166,1997-12-13,36.97
Namons  Santee,166,1997-12-21,17.98
Namons  Santee,166,1997-12-24,36.97
Namons  Santee,166,1998-02-24,11.49
Namons  Santee,166,1998-03-18,11.88
Namons  Santee,166,1998-05-27,11.88
Truong  Luis,181,1997-01-01,43.7
Bortolutti  Rashawn,198,1997-01-01,15.76
Hicks  Allison,221,1997-01-01,12.49
Mahieu  Kirby,228,1997-01-01,25.98
Mahieu  Kirby,228,1997-02-06,23.54
Mahieu  Kirby,228,1997-02-11,13.97
Mahieu  Kirby,228,1997-02-12,27.77
Mahieu  Kirby,228,1997-02-28,9.98
Mahieu  Kirby,228,1997-03-11,15.36
Mahieu  Kirby,228,1997-05-27,21.97
Mahieu  Kirby,228,1997-05-31,17.3
Mahieu  Kirby,228,1997-07-08,51.75
Mahieu  Kirby,228,1997-08-07,36.74
Mahieu  Kirby,228,1997-08-28,23.97
Mahieu  Kirby,228,1997-12-29,41.47
Mahieu  Kirby,228,1998-01-06,29.99
Lutz  Jennifer,234,1997-01-01,13.97
Lutz  Jennifer,234,1997-02-04,9.99
Hicks  Allison,226,1997-01-02,35.93
Hicks  Allison,226,1997-02-23,26.73
Hicks  Allison,226,1997-04-20,23.76
Hicks  Allison,226,1997-07-19,24.74
Hicks  Allison,226,1998-02-15,15.49
Hicks  Allison,226,1998-05-05,43.47
Ortega  Ramisa,243,1997-01-02,17.96
Johnson  Kaitlyn,256,1997-01-02,14.99
Johnson  Kaitlyn,256,1997-03-02,34.6
Johnson  Kaitlyn,256,1997-04-14,29.99
Crass  Stephanie,261,1997-01-02,8.77
Thompson  Garett,281,1997-01-02,14.7
Atencio  Ariana,297,1997-01-02,14.96
Ly Payia  Jaleel,312,1997-01-02,87.74
Ly Payia  Jaleel,312,1997-12-21,14.99
Sua  Remi,314,1997-01-02,3.99
Sua  Remi,314,1997-01-13,166.89
Sua  Remi,314,1997-01-13,60.25
Warszawski  Tarquin,333,1997-01-02,15.9
Arguello  Doan Anh,341,1997-01-02,26.14
Arguello  Doan Anh,341,1997-07-27,80.46
Brown  Braden,350,1997-01-02,46.37
Valdez  Cynthia,353,1997-01-02,28.76
Valdez  Cynthia,353,1997-02-12,40.47
Bass  Dimitre,367,1997-01-02,44.77
Rubalcaba  Yu Jin,388,1997-01-02,10.77
Bollig  Gienry,408,1997-01-02,25.99
Nicholas  Jelani,425,1997-01-02,14.99
Salomon  Jocelyn,429,1997-01-02,11.77
Salomon  Jocelyn,429,1997-07-11,31.14
Salomon  Jocelyn,429,1998-06-14,59.49
Baak  Phong,440,1997-01-02,14.96
Rubio  Sarena,473,1997-01-02,34.97
Chaparro  Khadijah,489,1997-01-02,47
Chaparro  Khadijah,489,1997-01-17,13.97
Waller  Connor,502,1997-01-02,15.36
Waller  Connor,502,1997-10-09,16.99
Sandoval  Mija,516,1997-01-02,14.99
Rubio  Sarena,487,1997-01-03,11.77
Kloeckner  Rachel,530,1997-01-03,11.97
Kumagai  Yitbarek,542,1997-01-03,45.67
Kimoto  Joshua,558,1997-01-03,49.67
Davis  Kaitlyn,562,1997-01-03,8.97
Davis  Kaitlyn,562,1997-06-23,14.96
Neal  Jeremy,564,1997-01-03,40.7
Neal  Jeremy,564,1997-01-14,14.96
Neal  Jeremy,564,1997-01-21,43.13
Neal  Jeremy,564,1997-01-27,14.96
Neal  Jeremy,564,1997-02-04,39.33
Neal  Jeremy,564,1997-04-11,29.92
Neal  Jeremy,564,1997-06-27,37.93
Neal  Jeremy,564,1997-07-10,26.73
Neal  Jeremy,564,1997-07-14,29.58
Neal  Jeremy,564,1997-07-29,14.96
Neal  Jeremy,564,1997-07-31,21.97
Neal  Jeremy,564,1997-08-28,29.73
Neal  Jeremy,564,1997-08-28,27.74
Neal  Jeremy,564,1997-09-01,23.54
Neal  Jeremy,564,1997-10-13,32.48
Neal  Jeremy,564,1997-10-28,24.48
Neal  Jeremy,564,1997-12-14,35.97
Neal  Jeremy,564,1998-01-10,26.48
Neal  Jeremy,564,1998-02-13,28.98
Neal  Jeremy,564,1998-03-01,30.98
Neal  Jeremy,564,1998-03-05,32.47
Neal  Jeremy,564,1998-03-25,25.98
Neal  Jeremy,564,1998-04-15,11.88
Neal  Jeremy,564,1998-05-31,12.99
Ellis  Matthew,581,1997-01-03,14.37
Rodriguez-Frias  Sabreena,612,1997-01-03,12.49
Marshall  Waheed,621,1997-01-03,17.9
Marshall  Waheed,621,1997-01-14,14.37
Carbajal  Leslie,636,1997-01-03,27.92
Osborn  Danny,656,1997-01-03,55.1
Osborn  Danny,656,1998-04-11,93.81
Osborn  Danny,656,1998-04-11,20.98
Garcia  Tiana,675,1997-01-03,24.99
Duncan  Erkhes,687,1997-01-03,12.97
Duncan  Erkhes,687,1998-04-10,34.41
Acosta  Orin,736,1997-01-03,28.74
Alvizo  Samantha,755,1997-01-03,52.99
Alvizo  Samantha,756,1997-01-03,14.37
Alvizo  Samantha,756,1997-07-06,13.97
Alvizo  Samantha,756,1997-08-23,42.08
Alvizo  Samantha,760,1997-01-03,11.77
Alvizo  Samantha,760,1997-02-02,15.36
Alvizo  Samantha,760,1998-04-20,26.3
Bateman  Elexis,18,1997-01-04,14.96
Carbajal  Leslie,645,1997-01-04,44.71
Carbajal  Leslie,645,1997-09-30,6.49
Carbajal  Leslie,645,1997-11-24,12.99
Carbajal  Leslie,645,1998-03-19,36.99
Duncan  Erkhes,703,1997-01-04,121.34
Yanez Ruiz  Andrea,773,1997-01-04,56.27
Yanez Ruiz  Andrea,773,1997-01-20,62.9
Yanez Ruiz  Andrea,773,1997-01-20,15.36
Yanez Ruiz  Andrea,773,1997-02-24,63.95
Yanez Ruiz  Andrea,773,1997-02-24,24.99
